real,sim,profits,acc-profits,error
0.72596,0.7263326,4.2259693e-4,0.0039545894,1.1349164e-6
0.72685,0.72641134,4.5132637e-4,0.0044059157,1.1349164e-6
0.72571,0.72731054,-4.605651e-4,0.0039453506,1.1349164e-6
0.72574,0.7261874,4.774332e-4,0.004422784,1.1349164e-6
0.72586,0.7261974,4.5740604e-4,0.00488019,1.1349164e-6
0.7262,0.7263212,4.6122074e-4,0.0053414106,1.1349164e-6
0.72565,0.7266706,-4.7063828e-4,0.0048707724,1.1349164e-6
0.72488,0.7261165,-4.6646595e-4,0.0044043064,1.1349164e-6
0.72502,0.7253319,4.5192242e-4,0.004856229,1.1349164e-6
0.72429,0.7254757,-4.557371e-4,0.0044004917,1.1349164e-6
0.72488,0.7247505,4.605055e-4,0.004860997,1.1349164e-6
0.72474,0.72531486,-4.348755e-4,0.0044261217,1.1349164e-6
0.72323,0.7251642,-4.2414665e-4,0.004001975,1.1349164e-6
0.72385,0.7236137,3.836751e-4,0.00438565,1.1349164e-6
0.72397,0.7242335,3.8349628e-4,0.0047691464,1.1349164e-6
0.72311,0.72435206,-3.8206577e-4,0.0043870807,1.1349164e-6
0.72255,0.7235129,-4.028678e-4,0.003984213,1.1349164e-6
