real,sim,profits,acc-profits,error
0.87189,0.87236404,-3.4034252e-5,4.8685074e-4,9.4010045e-7
0.87248,0.87198293,9.292364e-5,5.797744e-4,9.4010045e-7
0.87303,0.872508,2.8014183e-5,6.0778856e-4,9.4010045e-7
0.8727,0.87313294,-1.0293722e-4,5.0485134e-4,9.4010045e-7
0.87244,0.87271404,-1.4066696e-5,4.9078465e-4,9.4010045e-7
0.87294,0.87246394,2.3961067e-5,5.147457e-4,9.4010045e-7
0.87287,0.87296706,-2.7060509e-5,4.876852e-4,9.4010045e-7
0.87322,0.87291104,4.1007996e-5,5.286932e-4,9.4010045e-7
0.87315,0.8732608,-4.0769577e-5,4.8792362e-4,9.4010045e-7
0.87329,0.87320787,5.787611e-5,5.4579973e-4,9.4010045e-7
0.87352,0.87335515,6.514788e-5,6.109476e-4,9.4010045e-7
0.87376,0.87358576,6.574392e-5,6.7669153e-4,9.4010045e-7
0.87381,0.8738241,6.41346e-5,7.4082613e-4,9.4010045e-7
0.87299,0.8738758,-6.580353e-5,6.750226e-4,9.4010045e-7
0.87295,0.87305117,-6.1154366e-5,6.1386824e-4,9.4010045e-7
0.87305,0.87301445,6.443262e-5,6.7830086e-4,9.4010045e-7
0.87357,0.8731063,5.632639e-5,7.3462725e-4,9.4010045e-7
0.87878,0.8736258,5.5789948e-5,7.904172e-4,9.4010045e-7
0.87818,0.87887764,-9.763241e-5,6.927848e-4,9.4010045e-7
0.87796,0.8782273,-4.7266483e-5,6.455183e-4,9.4010045e-7
0.87847,0.8780376,7.754564e-5,7.2306395e-4,9.4010045e-7
0.87833,0.87849903,-2.9027462e-5,6.940365e-4,9.4010045e-7
0.877,0.87836695,-3.695488e-5,6.570816e-4,9.4010045e-7
0.87579,0.8770529,-5.2928925e-5,6.041527e-4,9.4010045e-7
0.87621,0.8757834,-6.6161156e-6,5.9753656e-4,9.4010045e-7
0.87641,0.87625533,4.5359135e-5,6.428957e-4,9.4010045e-7
0.87583,0.8764703,-6.03199e-5,5.825758e-4,9.4010045e-7
0.87584,0.87583154,1.5497208e-6,5.841255e-4,9.4010045e-7
0.87591,0.87585247,1.2457371e-5,5.965829e-4,9.4010045e-7
0.87515,0.8759349,-2.4914742e-5,5.7166815e-4,9.4010045e-7
0.87557,0.87517107,2.104044e-5,5.927086e-4,9.4010045e-7
0.87584,0.8756106,4.0590763e-5,6.3329935e-4,9.4010045e-7
0.8757,0.8758847,-4.4703484e-5,5.8859587e-4,9.4010045e-7
0.87589,0.8757509,5.0902367e-5,6.3949823e-4,9.4010045e-7
0.87568,0.87594295,-5.2928925e-5,5.865693e-4,9.4010045e-7
0.87535,0.8757366,-5.6564808e-5,5.300045e-4,9.4010045e-7
0.87523,0.8754076,-5.7578087e-5,4.724264e-4,9.4010045e-7
