real,sim,profits,acc-profits,error
1.31344,1.3112226,-4.5740604e-4,0.003256917,2.1154776e-6
1.31293,1.313059,3.809929e-4,0.00363791,2.1154776e-6
1.31252,1.3126488,2.812147e-4,0.0039191246,2.1154776e-6
1.31172,1.3122313,2.887249e-4,0.0042078495,2.1154776e-6
1.31065,1.3113388,3.812313e-4,0.004589081,2.1154776e-6
1.31514,1.3103466,-3.0338764e-4,0.004285693,2.1154776e-6
1.31341,1.3144399,7.0011616e-4,0.0049858093,2.1154776e-6
1.3121,1.3129734,4.3666363e-4,0.005422473,2.1154776e-6
1.31063,1.3118151,2.849102e-4,0.005707383,2.1154776e-6
1.31111,1.3103139,-3.1602383e-4,0.0053913593,2.1154776e-6
1.31159,1.3107177,-3.9231777e-4,0.0049990416,2.11262e-6
1.31061,1.3112195,3.7050247e-4,0.005369544,2.058671e-6
1.31068,1.3102723,-3.3771992e-4,0.005031824,2.058671e-6
1.31073,1.3103895,-2.9051304e-4,0.004741311,2.058671e-6
1.31085,1.3104352,-2.9480457e-4,0.0044465065,2.058671e-6
1.3101,1.310568,2.8204918e-4,0.0047285557,2.058671e-6
1.30968,1.3098136,2.863407e-4,0.0050148964,2.058671e-6
1.30928,1.3091569,5.2309036e-4,0.0055379868,2.013921e-6
1.30918,1.3087938,4.862547e-4,0.0060242414,2.013921e-6
1.30981,1.3087463,-4.336834e-4,0.005590558,2.013921e-6
1.3105,1.3093712,-4.388094e-4,0.0051517487,2.013921e-6
1.31103,1.3102006,-2.9945374e-4,0.004852295,2.013921e-6
1.31029,1.3105994,4.3058395e-4,0.005282879,2.013921e-6
1.30448,1.3099669,3.2305717e-4,0.005605936,2.013921e-6
1.30559,1.3038177,-6.622076e-4,0.0049437284,2.013921e-6
1.30617,1.3049278,-6.622076e-4,0.004281521,2.013921e-6
1.30534,1.3057214,4.4858456e-4,0.0047301054,2.013921e-6
1.30613,1.304619,-7.21097e-4,0.0040090084,2.013921e-6
1.30799,1.3057208,-4.092455e-4,0.003599763,2.013921e-6
1.30928,1.3075655,-4.2450428e-4,0.0031752586,2.013921e-6
1.30921,1.3089454,3.3462048e-4,0.003509879,2.013921e-6
1.30838,1.3089787,2.3126602e-4,0.0037411451,2.013921e-6
1.3083,1.3080459,3.3414364e-4,0.004075289,2.013921e-6
1.30821,1.3079953,3.0469894e-4,0.0043799877,2.013921e-6
1.30811,1.3078998,3.1018257e-4,0.0046901703,2.013921e-6
1.30727,1.3077822,3.2782555e-4,0.005017996,2.013921e-6
1.30662,1.3068228,4.4727325e-4,0.005465269,2.013921e-6
1.30758,1.3063424,-2.7763844e-4,0.0051876307,2.013921e-6
1.30793,1.3071449,-4.351139e-4,0.0047525167,2.013921e-6
1.30794,1.3074626,-4.6741962e-4,0.004285097,2.013921e-6
1.30778,1.307547,3.9303303e-4,0.00467813,2.013921e-6
1.30765,1.3074871,2.9289722e-4,0.0049710274,2.013921e-6
1.30712,1.3073624,2.875328e-4,0.00525856,2.1599706e-6
